,median_log2fc,ci_lo,ci_hi,top30_support,n_datasets,n_positive,n_deposits,neuron_over_glia_log2
Ppfia1,0.024,-0.118,0.185,0.0,13,8,8,-0.595
Gm2464,0.024,-0.234,1.138,0.0293,10,5,5,2.531
Ppp2r5b,0.024,0.003,0.167,0.0,13,10,8,1.516
Tprgl,0.024,-0.057,0.099,0.0,13,8,8,0.351
Tatdn2,0.024,-0.067,0.176,0.0,12,7,7,0.036
Nufip1,0.024,-0.126,0.072,0.0,13,7,8,-0.057
Ankrd55,0.024,-0.094,0.135,0.0,11,7,7,1.826
Rprd2,0.024,-0.022,0.139,0.0,13,8,8,-0.029
Stambp,0.024,-0.05,0.098,0.0,13,7,8,0.324
Axin1,0.024,-0.086,0.21,0.001,12,6,7,-0.464
Tmem208,0.024,-0.005,0.072,0.0,13,8,8,0.182
Xndc1,0.024,-0.355,0.082,0.0,11,6,6,-0.554
Ptp4a2,0.024,-0.031,0.089,0.0,13,8,8,-0.36
Ckb,0.024,-0.112,0.053,0.0,13,8,8,-0.387
Limch1,0.024,-0.238,0.166,0.0,12,7,7,-2.304
Uba3,0.024,-0.084,0.134,0.0,13,7,8,0.439
Zwint,0.024,-0.035,0.112,0.0,13,7,8,1.536
Sgtb,0.023,-0.082,0.171,0.0,13,7,8,1.276
Zmat1,0.023,-0.154,0.12,0.0,13,7,8,-0.772
Dus1l,0.023,-0.019,0.188,0.0,13,9,8,0.027
Tax1bp1,0.023,-0.051,0.075,0.0,13,8,8,-0.125
Zfp251,0.023,-0.177,0.154,0.0,13,7,8,0.626
Sh2b1,0.023,-0.211,0.105,0.0,13,7,8,-0.172
Zfp189,0.023,-0.329,0.267,0.0,10,6,6,-0.144
Gpatch4,0.023,-0.1,0.05,0.0,13,7,8,1.007
Ifngr2,0.023,-0.045,0.2,0.0,13,8,8,0.514
Sel1l3,0.023,-0.269,0.34,0.0,13,7,8,1.822
Cdc25b,0.023,-0.112,0.343,0.0005,11,6,6,-0.58
Ppa2,0.023,-0.06,0.104,0.0,13,8,8,0.557
Tspan33,0.023,-0.16,0.264,0.0,11,6,6,0.867
Bend4,0.023,-0.189,0.14,0.0,10,6,6,0.469
Kctd2,0.023,-0.096,0.122,0.0,13,7,8,0.256
Tmem38b,0.023,-0.111,0.173,0.0,11,6,7,-0.898
Angel2,0.023,-0.056,0.191,0.0,13,7,8,-0.648
Macrod2,0.023,0.003,0.224,0.0,13,10,8,0.858
Bsg,0.023,-0.047,0.06,0.0,13,8,8,-0.29
Dvl3,0.023,-0.055,0.078,0.0,13,9,8,-0.078
Ctsl,0.023,-0.06,0.051,0.0,13,7,8,-0.857
Pgam5,0.023,-0.073,0.1,0.0,13,8,8,0.593
Cdk10,0.023,-0.057,0.126,0.0,13,7,8,0.133
Uck2,0.023,-0.014,0.094,0.0,13,7,8,0.755
Zdhhc20,0.023,-0.025,0.157,0.0,13,9,8,-0.634
Ppil4,0.023,-0.058,0.065,0.0,13,8,8,-0.569
Ensa,0.023,-0.011,0.152,0.0,13,9,8,0.363
Actr5,0.023,-0.245,0.169,0.0,11,6,6,-0.868
Rpp38,0.023,-0.144,0.18,0.0,11,6,6,-0.219
Rprd1a,0.023,-0.06,0.163,0.0,13,8,8,0.068
Med25,0.023,-0.047,0.058,0.0,13,8,8,-0.127
Ewsr1,0.023,-0.017,0.052,0.0,13,8,8,-0.475
Apba2,0.023,-0.033,0.12,0.0,13,7,8,2.011
Gtpbp6,0.023,-0.022,0.046,0.0,12,8,7,0.922
Pmpca,0.023,-0.094,0.065,0.0,13,7,8,0.306
Cacfd1,0.023,-0.003,0.158,0.0,12,9,7,0.864
Msn,0.023,-0.077,0.101,0.0,13,8,8,0.243
Cep63,0.023,-0.067,0.237,0.0,13,7,8,-0.408
Pnpla8,0.023,-0.086,0.078,0.0,13,9,8,0.268
Tet2,0.023,-0.189,0.227,0.0,12,7,7,-0.934
Gpatch2l,0.023,-0.063,0.056,0.0,12,8,7,0.019
Cnst,0.023,-0.047,0.107,0.0,13,7,8,1.288
Rmnd5b,0.023,-0.043,0.119,0.0,13,7,8,0.218
Slc39a3,0.023,-0.02,0.134,0.0,13,9,8,0.464
Slc35f5,0.023,-0.132,0.186,0.0,13,8,8,-0.542
AU022252,0.023,-0.226,0.155,0.0,13,7,8,0.131
Cystm1,0.023,-0.125,0.123,0.0,12,7,7,2.004
2310061I04Rik,0.023,-0.04,0.061,0.0,13,8,8,1.272
Hap1,0.023,-0.032,0.144,0.0,12,7,7,1.633
Letm1,0.022,-0.18,0.112,0.0,13,7,8,0.408
Pdss1,0.022,-0.085,0.172,0.0,10,6,5,0.489
Fuz,0.022,-0.038,0.212,0.0,12,6,7,-0.756
Slc35g2,0.022,-0.057,0.304,0.0005,12,7,7,1.265
Mlf2,0.022,-0.053,0.053,0.0,13,8,8,0.443
Vasn,0.022,-0.301,0.195,0.0014,11,7,6,-1.603
Ebpl,0.022,-0.096,0.132,0.0,13,7,8,0.514
Phf12,0.022,-0.365,0.073,0.0,13,7,8,-0.532
Idi1,0.022,-0.04,0.107,0.0,12,8,7,0.06
Cnot6l,0.022,-0.141,0.167,0.0,13,7,8,-0.711
Kdm6a,0.022,-0.02,0.235,0.0,13,8,8,-0.281
Kif21a,0.022,-0.028,0.202,0.0,13,7,8,0.261
Nop14,0.022,-0.062,0.176,0.0,13,7,8,0.254
Ext1,0.022,-0.13,0.105,0.0,13,7,8,-1.112
1700037C18Rik,0.022,-0.188,0.087,0.0,12,7,7,0.098
Wasf1,0.022,-0.067,0.193,0.0,13,8,8,1.224
Gas2,0.022,-0.261,0.082,0.0,10,5,6,-0.625
Medag,0.022,-0.392,0.311,0.0129,10,6,6,-0.042
Fam114a2,0.022,-0.022,0.047,0.0,13,8,8,0.198
Elavl4,0.022,-0.033,0.056,0.0,13,8,8,2.141
Oxa1l,0.022,-0.051,0.103,0.0,13,8,8,-0.535
Tfg,0.022,-0.029,0.169,0.0,13,8,8,0.153
Ccar1,0.022,-0.019,0.044,0.0,13,9,8,-0.265
Dtx3,0.022,0.006,0.074,0.0,13,10,8,-0.221
Grb14,0.022,-0.187,0.24,0.0,13,8,8,-1.508
Ovca2,0.022,-0.533,0.061,0.0,10,5,6,0.403
Vasp,0.022,-0.168,0.089,0.0,13,7,8,-0.208
Gtpbp8,0.022,-0.06,0.127,0.0,13,8,8,0.492
Abhd14b,0.022,-0.004,0.119,0.0,13,8,8,0.043
Ehmt2,0.022,-0.068,0.104,0.0,13,7,8,-0.098
Scaf11,0.022,-0.098,0.06,0.0,13,7,8,-0.578
Nprl2,0.022,-0.146,0.13,0.0,13,8,8,0.514
Magi3,0.022,-0.03,0.277,0.0006,13,8,8,-0.419
Foxn3,0.022,-0.084,0.165,0.0,13,9,8,-0.067
Plscr3,0.022,-0.018,0.112,0.0,12,7,7,0.206
Bet1,0.022,-0.017,0.076,0.0,13,8,8,-1.174
Sec22a,0.022,-0.017,0.125,0.0,13,9,8,-0.369
Ppp3cb,0.022,0.004,0.105,0.0,13,10,8,1.047
Farsb,0.022,-0.067,0.066,0.0,13,8,8,0.638
Dennd5a,0.022,-0.104,0.071,0.0,13,7,8,-0.424
Atn1,0.022,-0.085,0.141,0.0,12,7,7,0.176
Traf6,0.022,-0.285,0.205,0.0003,10,5,6,-0.628
Nr3c1,0.022,-0.044,0.095,0.0,13,8,8,-2.704
Usf2,0.022,-0.071,0.081,0.0,13,7,8,-0.608
Pnck,0.022,-0.074,0.216,0.0,13,7,8,1.528
1600014C10Rik,0.021,-0.069,0.103,0.0,13,7,8,1.055
Dusp22,0.021,-0.017,0.197,0.0,13,9,8,0.901
Oxnad1,0.021,-0.056,0.085,0.0,13,8,8,-0.154
Atp6v0b,0.021,-0.002,0.083,0.0,13,9,8,0.875
Pisd,0.021,-0.105,0.153,0.0,13,7,8,-0.663
Tbc1d22b,0.021,-0.125,0.215,0.0,13,9,8,0.909
Mrpl3,0.021,-0.061,0.03,0.0,13,7,8,-0.129
Las1l,0.021,-0.074,0.076,0.0,13,8,8,-0.344
Cdc42se1,0.021,-0.11,0.109,0.0,13,8,8,-1.556
Mtmr10,0.021,-0.216,0.104,0.0,11,7,7,-1.508
Ccne1,0.021,-0.109,0.116,0.0,13,7,8,0.386
Fam49b,0.021,-0.029,0.111,0.0,12,6,7,0.405
Exoc1,0.021,-0.098,0.14,0.0,13,7,8,0.481
Rnf111,0.021,-0.116,0.077,0.0,13,8,8,-0.218
Gria4,0.021,-0.102,0.146,0.0,13,9,8,0.983
Cdk13,0.021,-0.141,0.099,0.0,12,7,7,-0.487
Usp15,0.021,-0.016,0.047,0.0,13,9,8,0.701
Plcd1,0.021,-0.156,0.158,0.0,13,8,8,-0.322
Yif1b,0.021,-0.052,0.073,0.0,13,7,8,0.388
Rnf181,0.021,-0.027,0.15,0.0,13,7,8,0.404
Hgs,0.021,-0.032,0.197,0.0,12,6,7,0.235
Tinf2,0.021,-0.161,0.063,0.0003,10,6,6,-0.808
Dhx29,0.021,-0.115,0.136,0.0,13,7,8,0.24
Rgl2,0.021,-0.089,0.086,0.0,13,9,8,-0.407
Ints4,0.021,-0.165,0.108,0.0,13,7,8,-0.251
Dctn6,0.021,-0.021,0.091,0.0,13,7,8,0.496
Myc,0.021,-0.12,0.094,0.0,12,7,7,0.234
Cxxc5,0.021,-0.149,0.138,0.0,13,9,8,0.297
Cbfb,0.021,-0.091,0.094,0.0,13,7,8,0.057
Nudcd3,0.021,-0.064,0.096,0.0,13,8,8,0.213
Ppox,0.021,-0.083,0.163,0.0,12,7,7,-0.924
Gspt1,0.021,-0.052,0.087,0.0,13,7,8,-0.525
Aprt,0.021,-0.08,0.097,0.0,13,7,8,0.893
Brms1l,0.021,-0.037,0.095,0.0,13,8,8,0.235
Spns1,0.021,-0.06,0.141,0.0,13,7,8,0.109
Polr1b,0.021,-0.206,0.28,0.0,11,6,7,-0.186
Tspan15,0.021,-0.083,0.272,0.0025,12,6,8,-2.826
Anxa6,0.021,-0.052,0.153,0.0,13,7,8,-0.281
E2f5,0.021,-0.102,0.128,0.0,13,7,8,-0.802
Ndufa9,0.021,-0.065,0.084,0.0,13,8,8,0.291
Coa3,0.021,-0.079,0.057,0.0,12,7,7,0.539
Inpp1,0.021,-0.031,0.044,0.0,13,8,8,0.069
Umad1,0.021,-0.015,0.191,0.0,11,7,6,0.231
Fyttd1,0.021,-0.064,0.117,0.0,13,7,8,0.323
Ypel1,0.021,-0.066,0.078,0.0,11,7,6,1.288
Slc35b2,0.02,-0.085,0.093,0.0002,13,7,8,-1.673
Zfp9,0.02,-0.055,0.103,0.0,13,8,8,0.371
Cttn,0.02,-0.098,0.084,0.0,13,7,8,0.0
Actr3b,0.02,-0.006,0.072,0.0,13,9,8,1.819
Tor1b,0.02,-0.06,0.083,0.0,13,9,8,-0.576
Sars2,0.02,-0.161,0.132,0.0,13,7,8,0.158
Kdm6b,0.02,-0.167,0.105,0.0,12,7,7,-0.89
Khnyn,0.02,-0.119,0.149,0.0,12,6,7,-0.068
Srrm2,0.02,-0.006,0.075,0.0,13,9,8,-0.304
Zdhhc4,0.02,-0.021,0.126,0.0,13,8,8,-0.202
Zcchc18,0.02,-0.006,0.105,0.0,13,9,8,1.725
Ap2a2,0.02,0.006,0.036,0.0,13,10,8,0.69
Morc3,0.02,-0.092,0.085,0.0,13,9,8,-0.333
Cox19,0.02,-0.071,0.109,0.0,13,8,8,0.941
Ccdc71l,0.02,-0.13,0.207,0.0002,11,6,6,-0.425
Ak1,0.02,-0.006,0.068,0.0,13,8,8,1.274
Cacna1d,0.02,-0.438,0.256,0.0001,11,6,7,0.879
Ipmk,0.02,-0.2,0.078,0.0,13,7,8,0.218
Txnrd1,0.02,-0.035,0.07,0.0,13,7,8,0.714
Cwc27,0.02,-0.09,0.063,0.0,13,7,8,-0.208
Ube2j1,0.02,-0.057,0.052,0.0,13,7,8,0.664
Cerk,0.02,-0.08,0.176,0.0,13,9,8,0.469
Nipa2,0.02,-0.069,0.112,0.0,13,7,8,-0.21
Comtd1,0.02,-0.076,0.104,0.0,13,7,8,0.986
Ahdc1,0.02,-0.042,0.211,0.0,12,7,7,-0.216
Arhgef25,0.02,-0.08,0.062,0.0,13,7,8,-0.94
Nucb2,0.02,-0.163,0.221,0.0,13,8,8,-0.237
Ube3a,0.02,-0.056,0.054,0.0,13,7,8,0.662
Ap4e1,0.02,-0.224,0.204,0.0,12,6,8,-0.047
Snca,0.02,-0.061,0.144,0.0,13,7,8,1.76
Dusp3,0.02,-0.065,0.051,0.0,13,8,8,0.596
4833439L19Rik,0.02,-0.012,0.055,0.0,13,8,8,0.321
Gng12,0.02,-0.084,0.059,0.0,13,8,8,-0.605
Sh3gl1,0.02,-0.133,0.113,0.0,13,7,8,-1.597
Zfp618,0.02,-0.308,0.094,0.0,12,6,7,0.259
Tle4,0.02,-0.017,0.081,0.0,13,8,8,0.647
9530082P21Rik,0.02,-0.087,0.138,0.0,11,7,8,0.027
Gm16286,0.02,-0.012,0.038,0.0,11,7,6,0.39
Cenpb,0.02,-0.035,0.08,0.0,13,7,8,-0.606
Bscl2,0.019,-0.066,0.107,0.0,13,8,8,0.576
Spryd3,0.019,-0.061,0.137,0.0,13,8,8,1.33
Zfp575,0.019,-0.108,0.332,0.0008,12,7,7,1.147
S100a10,0.019,-0.02,0.077,0.0,13,7,8,0.962
Stag1,0.019,-0.158,0.05,0.0,13,7,8,-0.824
Dynll2,0.019,-0.021,0.079,0.0,13,7,8,1.149
Pi4k2b,0.019,-0.187,0.173,0.0,12,6,7,-1.154
Wls,0.019,-0.065,0.172,0.0001,13,8,8,-2.929
Zfhx4,0.019,-0.142,0.116,0.0,13,9,8,0.14
Tpd52,0.019,-0.041,0.097,0.0,13,7,8,0.517
Srrm4,0.019,-0.071,0.063,0.0,13,7,8,1.926
Kdelr1,0.019,-0.055,0.112,0.0,13,7,8,-0.637
Esco1,0.019,-0.015,0.049,0.0,13,7,8,-0.338
Fchsd1,0.019,-0.178,0.081,0.0,13,8,8,0.619
Vopp1,0.019,-0.096,0.122,0.0,13,8,8,0.613
Dtx3l,0.019,-0.298,0.19,0.0,10,6,7,-1.007
Adam10,0.019,-0.11,0.139,0.0,13,7,8,-1.324
Shisa5,0.019,0.015,0.081,0.0,13,10,8,-0.103
Coq6,0.019,-0.182,0.072,0.0,13,7,8,0.222
Terf2,0.019,-0.129,0.159,0.0009,13,7,8,-0.089
Nos1ap,0.019,-0.169,0.211,0.0,12,7,7,0.187
Matr3,0.019,-0.019,0.095,0.0,13,8,8,0.364
Csnk1a1,0.019,-0.039,0.029,0.0,13,8,8,-0.247
Htra2,0.019,-0.031,0.063,0.0,12,8,7,-0.212
Bad,0.019,-0.024,0.163,0.0,13,8,8,0.332
Ndufaf7,0.019,-0.122,0.099,0.0,12,7,7,0.385
Cacna1c,0.019,-0.559,0.312,0.0,11,7,7,0.406
Tmeff2,0.019,-0.051,0.088,0.0,13,7,8,1.589
Fam13a,0.019,-0.044,0.268,0.0016,13,7,8,0.269
Drosha,0.019,-0.045,0.122,0.0,13,9,8,0.389
Gpn1,0.019,-0.117,0.07,0.0,13,7,8,0.304
Map4k5,0.019,-0.113,0.099,0.0,13,7,8,-0.86
Pcbp4,0.019,-0.017,0.046,0.0,13,8,8,0.017
Eid2,0.019,-0.058,0.145,0.0,13,7,8,1.249
Mrpl57,0.019,-0.122,0.031,0.0,11,6,6,0.655
Ddx24,0.019,-0.027,0.04,0.0,13,7,8,0.475
Snx10,0.019,-0.024,0.106,0.0,13,8,8,1.159
Tug1,0.019,-0.124,0.158,0.0002,11,6,7,0.202
Ubr7,0.019,-0.103,0.082,0.0,13,7,8,-0.095
Nubp2,0.019,-0.069,0.069,0.0,13,7,8,0.384
Ube2z,0.019,-0.026,0.115,0.0,13,8,8,0.527
Copb2,0.019,-0.04,0.098,0.0,13,7,8,-0.319
Crat,0.019,-0.1,0.118,0.0,13,7,8,-0.003
Rab1a,0.019,-0.02,0.137,0.0,11,8,6,0.117
Ehbp1l1,0.018,-0.045,0.312,0.0001,12,7,8,-0.148
Slc25a10,0.018,-0.158,0.219,0.0007,13,7,8,-1.096
Egln1,0.018,-0.076,0.023,0.0,13,8,8,-0.464
Tma7,0.018,-0.098,0.053,0.0,12,7,7,0.751
U2af2,0.018,-0.025,0.055,0.0,13,8,8,-0.284
Chga,0.018,-0.05,0.288,0.0,13,8,8,1.51
Fis1,0.018,-0.033,0.068,0.0,13,7,8,0.184
Emc8,0.018,-0.048,0.077,0.0,12,8,7,-0.557
Pck2,0.018,-0.017,0.132,0.0,13,8,8,0.14
Pcdhb9,0.018,-0.101,0.345,0.0157,11,7,6,0.826
Ghdc,0.018,-0.14,0.158,0.0,13,7,8,0.409
AI837181,0.018,-0.051,0.105,0.0,13,7,8,0.258
Gfm1,0.018,-0.101,0.156,0.0,13,7,8,0.099
Pcsk2,0.018,-0.055,0.169,0.0,13,7,8,1.967
Snx27,0.018,-0.053,0.126,0.0,13,7,8,0.368
Snx12,0.018,-0.032,0.088,0.0,13,7,8,0.492
Usp42,0.018,-0.119,0.139,0.0005,13,7,8,-0.244
Phkg2,0.018,-0.091,0.102,0.0,12,6,7,0.411
Tusc3,0.018,-0.035,0.086,0.0,12,7,7,0.668
Fam89a,0.018,-0.309,0.226,0.0001,12,8,7,1.683
Repin1,0.018,-0.218,0.14,0.0002,13,7,8,-0.327
Asb3,0.018,-0.108,0.063,0.0,13,7,8,0.012
Nup50,0.018,-0.051,0.051,0.0,13,8,8,0.035
Ppme1,0.018,-0.031,0.097,0.0,13,9,8,0.935
Hdhd2,0.018,-0.068,0.144,0.0,13,7,8,-0.062
Plscr4,0.018,-0.265,0.204,0.0024,11,7,6,-0.109
Rab10,0.018,-0.06,0.045,0.0,13,7,8,0.137
Zfp938,0.018,-0.096,0.112,0.0,13,7,8,0.78
Pcyt1a,0.018,-0.045,0.141,0.0,13,7,8,-0.333
Nrep,0.018,-0.129,0.065,0.0,12,7,7,0.318
Zfp608,0.018,-0.013,0.211,0.0,13,9,8,-0.585
Itpa,0.018,-0.021,0.117,0.0,13,8,8,0.268
Cpsf7,0.018,-0.043,0.09,0.0,13,7,8,-0.326
Mbd5,0.018,-0.235,0.115,0.0,13,7,8,0.368
Rnase4,0.018,-0.143,0.143,0.0001,11,6,6,-0.527
Gid4,0.018,-0.228,0.136,0.0,12,7,7,-0.385
Ctbp1,0.018,-0.017,0.073,0.0,13,9,8,0.233
Spg11,0.018,-0.108,0.226,0.0,11,6,7,-0.069
Pak6,0.018,-0.128,0.197,0.0,11,6,6,1.907
Ankrd9,0.018,-0.086,0.031,0.0,13,7,8,-0.03
Ubp1,0.018,-0.188,0.108,0.0,13,7,8,-0.387
Prkg2,0.018,-0.193,0.272,0.0,11,6,7,1.866
Ago1,0.018,-0.362,0.146,0.0,11,6,6,-0.576
Stradb,0.018,-0.262,0.134,0.0,13,7,8,0.311
Prkcsh,0.018,-0.064,0.175,0.0,13,7,8,-0.45
Prpf4b,0.018,-0.129,0.075,0.0,13,7,8,-0.567
Borcs6,0.018,-0.04,0.14,0.0,11,6,6,0.412
Wdr37,0.018,-0.099,0.126,0.0,13,7,8,0.834
Susd4,0.018,-0.176,0.246,0.0,12,6,8,1.693
Prmt2,0.018,-0.128,0.029,0.0,13,7,8,1.076
Znrf1,0.018,-0.007,0.099,0.0,13,9,8,0.706
Golga3,0.018,-0.044,0.203,0.0,13,8,8,0.139
Atg4b,0.018,-0.073,0.144,0.0,13,7,8,0.466
Qser1,0.018,-0.084,0.145,0.0,13,8,8,-1.098
Hspbap1,0.018,-0.317,0.147,0.0,13,7,8,0.016
Rcan2,0.018,-0.04,0.114,0.0,13,7,8,1.525
Ap4b1,0.018,-0.16,0.194,0.0,12,6,7,0.185
Cbll1,0.018,-0.104,0.107,0.0,13,7,8,0.143
Gpatch8,0.018,-0.18,0.065,0.0,13,8,8,-0.251
Dok6,0.018,-0.147,0.191,0.0,10,6,6,0.996
Taok3,0.018,-0.025,0.086,0.0,13,8,8,0.404
Fip1l1,0.017,-0.06,0.052,0.0,13,8,8,-0.051
Yy1,0.017,-0.014,0.064,0.0,13,8,8,-0.453
Zbtb41,0.017,-0.113,0.077,0.0,13,7,8,0.323
Epc1,0.017,-0.069,0.124,0.0,13,7,8,-0.346
Zfp777,0.017,-0.226,0.146,0.0,12,6,7,-0.055
Wdr45b,0.017,-0.052,0.08,0.0,12,6,7,-0.425
Acadvl,0.017,-0.019,0.047,0.0,13,8,8,-0.005
Sirt1,0.017,-0.246,0.163,0.0,13,7,8,-1.025
Nfx1,0.017,-0.055,0.057,0.0,13,7,8,-0.088
H2-T22,0.017,-0.075,0.115,0.0,11,6,7,-2.144
Tor1aip2,0.017,-0.055,0.06,0.0,13,8,8,0.075
Chid1,0.017,-0.057,0.064,0.0,13,7,8,-0.069
Suv39h1,0.017,-0.113,0.055,0.0,12,6,7,0.38
Nek9,0.017,-0.023,0.145,0.0,13,7,8,-0.185
Ints8,0.017,-0.091,0.101,0.0,13,8,8,-0.0
Psme4,0.017,-0.042,0.162,0.0,13,8,8,0.025
Cnpy3,0.017,-0.021,0.135,0.0,13,8,8,-0.777
Rbbp7,0.017,-0.019,0.066,0.0,13,9,8,-0.118
Tmem127,0.017,-0.104,0.104,0.0,13,8,8,0.14
Ankrd40,0.017,-0.13,0.089,0.0,13,7,8,0.183
Cblb,0.017,-0.11,0.102,0.0,13,7,8,0.28
Irf1,0.017,-0.378,0.11,0.0005,13,7,8,-3.252
Neu1,0.017,-0.059,0.121,0.0,13,8,8,-0.035
Ncoa5,0.017,-0.063,0.121,0.0,13,8,8,0.104
Ndfip2,0.017,-0.012,0.142,0.0,13,8,8,-0.116
Mfap3,0.017,-0.052,0.235,0.0,13,7,8,-0.339
Wdr33,0.017,-0.129,0.055,0.0,13,7,8,-0.397
Csnk1e,0.017,-0.05,0.056,0.0,13,8,8,1.009
Cc2d2a,0.017,-0.229,0.147,0.0013,13,7,8,-0.589
R3hcc1l,0.017,-0.19,0.222,0.0,12,7,7,-0.326
Zranb2,0.017,-0.059,0.054,0.0,13,7,8,0.305
Hebp1,0.017,-0.249,0.331,0.0009,12,7,7,-0.199
Zfp655,0.017,-0.092,0.055,0.0,13,9,8,0.009
Ilf3,0.017,-0.043,0.093,0.0,13,7,8,0.167
Serpinb6a,0.017,-0.055,0.047,0.0,13,8,8,0.645
Senp6,0.017,0.003,0.068,0.0,13,10,8,-0.062
Sh3gl3,0.017,-0.168,0.169,0.0,12,7,7,1.811
Pbrm1,0.017,-0.116,0.06,0.0,13,7,8,-0.176
Ube2d2a,0.017,-0.028,0.115,0.0,12,7,7,0.129
Snx11,0.017,-0.009,0.07,0.0,13,8,8,0.444
Ccnh,0.017,-0.008,0.08,0.0,13,8,8,-0.03
Smap2,0.017,-0.025,0.052,0.0,13,8,8,0.754
Abi1,0.017,-0.053,0.049,0.0,13,8,8,-0.202
Galt,0.017,-0.139,0.158,0.0,13,7,8,0.456
Gm5617,0.017,-0.193,0.169,0.0,12,6,7,-0.903
Slc2a1,0.016,-0.304,0.123,0.0,12,7,8,-0.895
Ccdc186,0.016,-0.038,0.118,0.0,11,6,6,0.136
Cryl1,0.016,-0.075,0.277,0.0,12,7,7,-0.577
Actr3,0.016,-0.037,0.036,0.0,13,7,8,0.043
Lamp2,0.016,-0.153,0.072,0.0,13,7,8,-1.167
Slc19a1,0.016,-0.113,0.275,0.0007,12,6,7,-0.275
D130017N08Rik,0.016,-0.09,0.091,0.0,13,8,8,1.425
Dph2,0.016,-0.168,0.22,0.0,13,7,8,0.35
Mapk3,0.016,-0.05,0.07,0.0,13,7,8,0.975
Lrrn1,0.016,-0.124,0.168,0.0,11,6,6,0.209
Eif2b5,0.016,-0.105,0.081,0.0,13,7,8,0.512
Ivd,0.016,-0.079,0.129,0.0,13,7,8,-0.324
Scoc,0.016,-0.048,0.144,0.0,13,8,8,1.411
Wdr20,0.016,-0.195,0.143,0.0,11,6,6,-0.828
Pmepa1,0.016,-0.091,0.227,0.0,13,8,8,-2.59
Zfp865,0.016,-0.087,0.157,0.0,12,6,7,-0.685
Ezh1,0.016,-0.136,0.124,0.0,13,8,8,-0.004
Rit2,0.016,-0.025,0.242,0.0,13,8,8,1.976
Il13ra1,0.016,-0.27,0.144,0.0005,11,6,6,0.237
Efemp2,0.016,-0.333,0.199,0.0,12,7,7,-3.367
Ice1,0.016,-0.024,0.126,0.0,11,7,6,0.057
Pomt1,0.016,-0.085,0.219,0.0,12,8,8,-0.734
Ikzf4,0.016,-0.156,0.399,0.0137,12,7,7,0.641
Atg13,0.016,-0.098,0.129,0.0,13,7,8,0.312
Srsf10,0.016,-0.046,0.034,0.0,13,8,8,-0.653
Tfb2m,0.016,-0.05,0.07,0.0,13,7,8,0.061
Maml3,0.016,-0.153,0.13,0.0001,12,7,7,0.614
Bbs4,0.016,-0.087,0.143,0.0,13,7,8,0.954
Fbxw7,0.016,-0.257,0.058,0.0,13,7,8,0.356
Xrcc6,0.016,-0.042,0.109,0.0,13,8,8,-0.264
Ubtd1,0.016,-0.082,0.081,0.0,13,8,8,0.332
Bckdk,0.016,-0.005,0.094,0.0,13,9,8,-0.663
Tspan31,0.016,-0.045,0.076,0.0,13,7,8,-0.133
Gpc1,0.016,-0.187,0.143,0.0,13,7,8,0.032
Ptdss2,0.016,-0.045,0.101,0.0,13,8,8,-0.018
Cops5,0.016,-0.068,0.127,0.0,13,7,8,0.619
Lztr1,0.016,-0.064,0.098,0.0,13,8,8,0.335
Isca1,0.016,-0.203,0.058,0.0,13,7,8,-0.166
Mthfd1,0.016,-0.114,0.135,0.0,13,8,8,-0.119
D2hgdh,0.016,-0.419,0.374,0.0154,13,8,8,-0.095
Add3,0.016,-0.019,0.212,0.0,13,8,8,-1.495
Tsr3,0.016,-0.035,0.117,0.0,12,6,7,0.527
Gng3,0.016,-0.112,0.075,0.0,13,7,8,2.308
Ube2e2,0.015,-0.044,0.103,0.0,13,8,8,1.033
Tusc1,0.015,-0.089,0.117,0.0,11,6,6,0.803
Ubc,0.015,-0.116,0.075,0.0,13,7,8,-0.381
Fam207a,0.015,-0.034,0.069,0.0,12,7,7,0.146
Rnasek,0.015,-0.057,0.078,0.0,10,5,6,1.042
P4hb,0.015,-0.095,0.111,0.0,13,8,8,-1.245
Cxxc4,0.015,-0.033,0.193,0.0,13,8,8,2.047
Plk4,0.015,-0.249,0.176,0.0,12,6,8,-1.418
Impact,0.015,-0.132,0.119,0.0,13,8,8,0.718
Spen,0.015,-0.088,0.113,0.0,12,7,7,-0.194
Actr8,0.015,-0.032,0.094,0.0,13,7,8,0.244
Tceanc2,0.015,-0.054,0.113,0.0,12,7,7,0.169
Lrrc45,0.015,-0.101,0.116,0.0,13,7,8,-0.222
Ndufa4,0.015,-0.023,0.08,0.0,13,7,8,0.871
Zmym3,0.015,-0.06,0.11,0.0,13,8,8,0.458
Ankrd26,0.015,-0.061,0.18,0.0004,13,7,8,-0.081
Zfp846,0.015,-0.314,0.105,0.0,13,7,8,0.423
Diablo,0.015,-0.036,0.088,0.0,13,7,8,1.203
Txn1,0.015,-0.103,0.059,0.0,13,7,8,0.577
Uba2,0.015,-0.09,0.069,0.0,13,7,8,-0.02
Gtf2f1,0.015,-0.137,0.056,0.0,13,7,8,-0.166
C530008M17Rik,0.015,-0.115,0.151,0.0,12,7,7,1.205
5730455P16Rik,0.015,-0.004,0.083,0.0,13,9,8,0.86
Psmd1,0.015,-0.009,0.059,0.0,13,9,8,0.595
Tm2d3,0.015,-0.025,0.048,0.0,13,7,8,0.15
Tmbim4,0.015,-0.01,0.052,0.0,13,8,8,0.051
Ptp4a3,0.015,-0.062,0.106,0.0,13,8,8,-0.169
