,GSE102443 geniculate (VII),GSE135801 geniculate (VII),GSE309608 vestibular (VIII),GSE232789 stellate,GSE232789 coeliac,GSE232789 lumbar chain,GSE231766 superior cervical,GSE231924 stellate,GSE232789 sphenopalatine,GSE330884 intrinsic cardiac,GSE232789 pelvic,"GSE263422 enteric submucosal, P24","GSE263422 enteric submucosal, P7"
Abcg2,-0.146,0.399,-0.373,0.034,0.332,-0.196,0.017,-0.056,0.119,0.177,-0.171,-0.276,-0.303
Abcg4,0.144,0.102,0.277,0.191,-0.377,0.251,0.43,0.335,0.1,0.099,0.246,0.106,0.019
Abhd10,-0.041,0.126,-0.082,-0.119,0.118,-0.125,0.31,-0.246,0.058,-0.029,0.034,0.149,0.034
Abhd11,0.113,0.216,-0.091,-0.007,0.401,0.013,-0.193,0.228,-0.152,-0.081,-0.07,-0.28,-0.073
Abhd12,-0.001,0.051,0.207,-0.107,0.189,-0.087,0.282,0.247,0.028,0.041,-0.025,0.032,-0.132
Abhd13,-0.518,0.055,0.13,-0.017,-0.005,0.228,0.153,,-0.097,0.097,0.25,0.385,0.108
Abhd14a,0.049,-1.369,0.016,-0.102,0.613,0.02,-0.452,0.05,-0.081,-0.021,-0.102,-0.069,-0.01
Abhd14b,0.171,-0.454,0.119,0.017,0.022,-0.277,-0.004,0.192,-0.0,0.115,0.09,-0.252,0.165
Abhd16a,-0.022,-0.117,0.177,0.071,0.311,-0.106,0.362,0.137,-0.008,0.16,-0.147,0.011,-0.013
Abhd2,0.258,0.486,0.067,-0.247,-0.503,-0.079,0.275,-0.11,-0.035,0.233,0.006,0.179,-0.411
Abhd3,0.041,-0.317,0.281,0.056,0.471,-0.113,0.586,0.38,-0.216,0.053,0.312,,
Abhd4,0.102,-0.66,-0.081,0.099,-0.187,0.592,-0.464,-0.771,-0.279,0.21,0.141,0.08,-0.528
Abhd5,-0.314,-0.231,0.077,-0.061,0.423,-0.017,-0.085,0.103,-0.069,0.008,0.061,-0.045,0.162
Abhd6,-0.043,-1.079,0.144,0.11,-0.472,-0.385,0.325,-0.281,0.004,0.002,-0.212,-0.137,-0.166
Abhd8,-0.146,0.055,-0.018,-0.039,0.198,-0.1,0.249,-0.102,0.049,-0.011,0.0,-0.125,-0.066
Abi1,-0.23,-0.078,0.052,0.115,0.049,-0.053,0.177,-0.094,0.006,0.031,-0.017,0.017,0.03
Abi2,0.027,0.057,0.116,-0.032,0.047,-0.046,0.457,-0.243,0.052,0.092,0.076,0.186,0.032
Abl2,-0.21,0.542,0.14,0.031,0.188,0.487,-0.079,-0.031,0.072,0.168,0.104,0.201,0.532
Ablim1,0.154,0.652,0.085,0.201,0.898,0.312,0.319,0.039,0.161,0.216,0.146,0.358,0.033
Ablim2,0.294,1.021,0.254,0.05,0.066,0.702,0.286,-0.113,0.095,0.237,0.291,-0.24,-0.84
Ablim3,0.616,0.574,-0.029,-0.002,0.426,0.107,0.309,0.577,0.097,0.275,0.004,0.042,0.157
Abr,-0.199,0.031,0.399,0.024,0.059,0.249,0.35,0.05,0.068,0.268,0.213,0.377,0.094
Abt1,0.06,-0.013,-0.161,-0.301,-0.705,-0.13,0.227,,-0.1,-0.1,-0.154,-0.208,-0.225
Abtb1,0.259,-0.227,0.191,-0.127,0.09,-0.287,-0.253,-0.362,0.056,-0.037,-0.047,-0.493,-0.368
Abtb2,-0.063,-0.235,-0.088,0.302,1.305,0.723,-0.112,0.045,-0.126,0.01,0.135,,-0.122
